client_id	path	sentence	age	gender	accents	duration
1091c	myst_001091_2014-03-12_07-53-57_MX_1.1_001.flac	GOOD	child	not_given	not_given	1.03125
1091c	myst_001091_2014-03-12_07-53-57_MX_1.1_002.flac	IT'S BEEN GOOD	child	not_given	not_given	1.4601875
12001c	myst_012001_2013-11-05_14-47-21_MX_1.1_001.flac	TERRIBLE HOW ARE YOU	child	not_given	not_given	1.4375
12001c	myst_012001_2013-11-05_14-47-21_MX_1.1_002.flac	WE WERE TALKING ABOUT MIXTURES	child	not_given	not_given	2.525625
12001c	myst_012001_2013-11-05_14-47-21_MX_1.1_003.flac	I HAVEN'T THE FOGGIEST IDEA	child	not_given	not_given	2.5766875
12001c	myst_012001_2013-11-05_14-47-21_MX_1.1_004.flac	SOMEBODY'S NOT A GOOD HOUSEKEEPER	child	not_given	not_given	2.53225
12001c	myst_012001_2013-11-05_14-47-21_MX_1.1_005.flac	THERE'S A MIXTURE OF ITEMS	child	not_given	not_given	3.0088125
12001c	myst_012001_2013-11-05_14-47-21_MX_1.1_006.flac	THEY CAN BE SEPARATED BACK TO THEIR ORIGINAL FORM	child	not_given	not_given	3.5824375
12001c	myst_012001_2013-11-05_14-47-21_MX_1.1_007.flac	THE ONE ON THE LEFT IS A COMBINATION OF THE ONES ON THE RIGHT	child	not_given	not_given	3.2604375
12001c	myst_012001_2013-11-05_14-47-21_MX_1.1_008.flac	IT'S A MIXTURE	child	not_given	not_given	1.63775
12001c	myst_012001_2013-11-05_14-47-21_MX_1.1_009.flac	A MIXTURE IS WHEN TWO OR MORE ITEMS CAN BE EASILY SEPARATED A SOLUTION IS WHEN TWO OR MORE ITEMS NEED TO BE NEED TO HAVE EVAPORATION	child	not_given	not_given	16.674
12001c	myst_012001_2013-11-05_14-47-21_MX_1.1_010.flac	THERE ARE NO CUPS OF MATERIALS	child	not_given	not_given	2.332375
12001c	myst_012001_2013-11-05_14-47-21_MX_1.1_011.flac	THAT'S NOT SALT AND WATER	child	not_given	not_given	1.884875
12001c	myst_012001_2013-11-05_14-47-21_MX_1.1_012.flac	A SOLUTION	child	not_given	not_given	1.459375
12001c	myst_012001_2013-11-05_14-47-21_MX_1.1_013.flac	SOLUTIONS CAN BE SEPARATED BY EVAPORATION	child	not_given	not_given	3.4683125
12001c	myst_012001_2013-11-05_14-47-21_MX_1.1_014.flac	FINE	child	not_given	not_given	1.625
12001c	myst_012001_2013-11-05_14-47-21_MX_1.1_015.flac	LEARNING ABOUT MIXTURES	child	not_given	not_given	2.1515
12001c	myst_012001_2013-11-05_14-47-21_MX_1.1_016.flac	NOTHING	child	not_given	not_given	1.625
12001c	myst_012001_2013-11-05_14-47-21_MX_1.1_019.flac	LEARNING ABOUT MIXTURES AND SOLUTIONS	child	not_given	not_given	2.4675
12001c	myst_012001_2013-11-05_14-47-21_MX_1.1_022.flac	THEY SHOW EXAMPLES OF MIXTURE	child	not_given	not_given	1.3796875
12001c	myst_012001_2013-11-05_14-47-21_MX_1.1_024.flac	UH THEY ALL REPRESENT A MIXTURE	child	not_given	not_given	1.7058125
12001c	myst_012001_2013-11-05_14-47-21_MX_1.1_025.flac	UH THERE'S BEANS RAISINS AND M AND M'S THERE'S PAPER CLIPS AND PIECES OF WOOD AND THERE'S MARBLES AND WATER AND THEN THERE'S A MIXED SALAD WITH LETTUCE TOMATO RED CABBAGE	child	not_given	not_given	14.773375
12011c	myst_012011_2013-11-14_09-13-54_MX_1.2_001.flac	GOOD	child	not_given	not_given	1.21875
12011c	myst_012011_2013-11-14_09-13-54_MX_1.2_002.flac	BEEN LEARNING ABOUT MIXTURES AND SOLUTIONS I'M NOT THAT GOOD AT THEM THOUGH	child	not_given	not_given	5.09925
12011c	myst_012011_2013-11-14_09-13-54_MX_1.2_003.flac	UM I THINK THE MAYBE SOLUTION LOTS AND LOTS OF SOLUTION	child	not_given	not_given	5.0471875
12011c	myst_012011_2013-11-14_09-13-54_MX_1.2_004.flac	PEOPLE ARE ADDING WATER SAND INTO A CUP AND WATER SALTS INTO A CUP WITH WATER	child	not_given	not_given	6.981125
12011c	myst_012011_2013-11-14_09-13-54_MX_1.2_005.flac	A SOLUTION	child	not_given	not_given	1.4230625
